variant	mode	image_id	created	assembly_sha256	assembly_bytes	metadata_sha256
A	clean	sha256:63d6f052a65006111fc9cb12b22bf9dc5506bf0524c844d8576b659b486f3950	2026-08-18T15:02:06.229200129Z	a4abb3d85ea9faeaeacb2d7cba21362918757692d72b3a54900918af9a1eb756	15360	d7b4eef43c5bf50b6f71fbe7c8694484a92f3e6ec8da7b1028d51b7de942f02b
A	instana	sha256:cfc7b40d097fc24eeb828bf0188f1f0de51fcbbe7a2e24c519fd2ce29a6aa71d	2026-08-18T15:09:46.964260178Z	1b0533e27a73ff5ada7efe1062fb2714a130746a7b0624e9258dae8d550b9665	15360	d7b4eef43c5bf50b6f71fbe7c8694484a92f3e6ec8da7b1028d51b7de942f02b
B	clean	sha256:de5d1e4817daf500fdce77a5d6a251f9d35a9c9c30e3168fa8a21741a97daaf6	2026-08-18T16:45:33.508852478Z	f5cdf8eb8cb7cb3d0ffe756b1b475df91da4c7d7cfd416014dcc7584f3d89cf5	15872	a491c3255acfcc206f0d96981e0d07be33b12b51431101235084c54aaa6ebaed
B	instana	sha256:07c138847296e1b702cc2d986fc301a362357ab428c3085067c388d8d6067dac	2026-08-18T16:46:39.98615997Z	752f7c463b3142f0f78ad5f8716061d903d86d14fb6224bbcbf956b11b7229b9	15872	a491c3255acfcc206f0d96981e0d07be33b12b51431101235084c54aaa6ebaed
C	clean	sha256:e336f3e45fa4478cad1a365458bb0555708fd66d19c69d10b7fcc22e3782cf0f	2026-08-18T16:47:34.118878405Z	f64dc5eaae8c7ca7e049547d27cf8992fec17bdb14587f05e8de8c989a40eb47	16896	6d1a9ee7d97d0a753240ae9a76016805a59da3a1c9681ce01bbe1211fa78cf9c
C	instana	sha256:97065e0e5574415fa2c91a686575f945c0ee7d8e5cd9534e5adc020eb7b3f0b2	2026-08-18T16:48:33.297667164Z	85307d65861af7343db57561a2b413120bbe007b8a7a5a2874aa6e8c4c9c4041	16896	6d1a9ee7d97d0a753240ae9a76016805a59da3a1c9681ce01bbe1211fa78cf9c
D	clean	sha256:7b5b6f528ac70d2f5edb8fca077600401de80c5abc871a9dbfdaa2fb73935cd6	2026-08-18T16:49:22.944882876Z	f92d3b97b9ddca899622c41d6dceceb187bf17e629aaedb6251216b773aa5f83	16896	6d1a9ee7d97d0a753240ae9a76016805a59da3a1c9681ce01bbe1211fa78cf9c
D	instana	sha256:e9b5751cd4f19276f07573903f4837cc35271dee5216cbca04f804bde1967fcf	2026-08-18T17:33:45.123508602Z	f92d3b97b9ddca899622c41d6dceceb187bf17e629aaedb6251216b773aa5f83	16896	6d1a9ee7d97d0a753240ae9a76016805a59da3a1c9681ce01bbe1211fa78cf9c
