variant	function_count	mode	idle_seconds	stable	health_after_idle	worker_initialized	restart_limit	docker_exit	oom	host_result
A0	1	clean	30	YES	200	0	0	0	false	RUNNING
A1	1	clean	30	YES	200	0	0	0	false	RUNNING
