variant	commit	historical_image_id	frozen_image_id	frozen_tag	historical_assembly_sha256	frozen_assembly_sha256	assembly_match	freeze_method
A	3b3ede6	sha256:0c478ba88f81aeaf951d98ebd214d26edc341cbe1a3e3f28f01979dc4972e625	sha256:01bef9fbdaa9d8352ffd76d726a94eb87a72005f4f14f194973da6a538c48ec8	instana-dotnet9-lab:frozen-a-clean-health	a4abb3d85ea9faeaeacb2d7cba21362918757692d72b3a54900918af9a1eb756	a4abb3d85ea9faeaeacb2d7cba21362918757692d72b3a54900918af9a1eb756	YES	rebuild-from-commit
B	3b3ede6	sha256:e4690c424728a32c90de7a4b4d55eb8f4e7641b19b8852ddfa1b3b4ff511649f	sha256:bd6686859783e4128b2cb470c3557036d50b6005fdb97267dbe7fec99d01c500	instana-dotnet9-lab:frozen-b-instana-health	1b0533e27a73ff5ada7efe1062fb2714a130746a7b0624e9258dae8d550b9665	1b0533e27a73ff5ada7efe1062fb2714a130746a7b0624e9258dae8d550b9665	YES	rebuild-from-commit
C	ffb75d6	sha256:6fa5d638a3d2c16b72195a038378abda53b6a37008b96ae757a10bff18d70f6c	sha256:6fa5d638a3d2c16b72195a038378abda53b6a37008b96ae757a10bff18d70f6c	instana-dotnet9-lab:frozen-c-clean-expanded	93d98d8fb1aa7025a3530c036cd9978aef03a194caa54b3aaf62292c8bd957a9	93d98d8fb1aa7025a3530c036cd9978aef03a194caa54b3aaf62292c8bd957a9	YES	docker-tag
D	ffb75d6	sha256:39c26dc8fba84b6ae115abbfc631e0b9b4594311c95b351e2de292f772b58493	sha256:39c26dc8fba84b6ae115abbfc631e0b9b4594311c95b351e2de292f772b58493	instana-dotnet9-lab:frozen-d-instana-expanded	85c251a331c926cc50d3a3d06814c8e1d51d2f41ea4f1cceb28fdfe93be3ac21	85c251a331c926cc50d3a3d06814c8e1d51d2f41ea4f1cceb28fdfe93be3ac21	YES	docker-tag
